Chapter,關卡名稱,正式答案,可接受答案,答案類型,圖片檔名
1,肖像畫,TEACHER,,en,chapter-01.png
2,萬花筒,'0423,,number,chapter-02.png
3,老師剪影,生教組長,,zh,chapter-03.png
4,放大鏡,YSJH,,en,chapter-04.png
5,麥克風,'0815,,number,chapter-05.png
6,名片,教務處在二樓,,zh,chapter-06.png
7,校徽,SCHOOL,,en,chapter-07.png
8,座標,學校真好玩,,zh,chapter-08.png
9,扉頁,16647,,number,chapter-09.png
10,索書號,LIBRARY,,en,chapter-10.png
11,頭條,書馨跑關燒腦累積合作力,,zh,chapter-11.png
12,守門人,KEY,,en,chapter-12.png
13,濾鏡,TRUTH,,en,chapter-13.png
14,羅盤,明辨方向,,zh,chapter-14.png
15,齒輪,合作,,zh,chapter-15.png
16,方向盤,5206,,number,chapter-16.png
17,充電站,能量補給,,zh,chapter-17.png
18,校園地圖,267,,number,chapter-18.png
19,鑰匙,mission,,en,chapter-19.png
20,點子燈泡,IDEA,,en,chapter-20.png
